id,title,genres,price,image,steam_page,developer,publisher,release_date
1037830,Rascal Fight / 捣蛋大作战,Action/Casual/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1037830/header.jpg?t=1569570866,https://store.steampowered.com/app/1037830,广州丁香网络科技有限公司,Coconut Island Games,Unrealeased
1037820,Havoc,Action/Casual/Indie/Simulation/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/1037820/header.jpg?t=1564420897,https://store.steampowered.com/app/1037820,Intersky Studios,Intersky Studios,Unrealeased
1037810,Ping Pong Trick Shot EVOLUTION,Action/Casual/Sports,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1037810/header.jpg?t=1552964161,https://store.steampowered.com/app/1037810,"SIMS Co., Ltd.","SIMS Co., Ltd.","Mar 18, 2019"
1037760,Hold The Fort,Indie/Strategy,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/1037760/header.jpg?t=1569033979,https://store.steampowered.com/app/1037760,Monster Tooth Studios,Monster Tooth Studios,"Jun 5, 2019"
1037750,Looking for Heals,Action/Adventure/Indie/Strategy/Early Access,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/1037750/header.jpg?t=1571715220,https://store.steampowered.com/app/1037750,Blue Bomber Games,Blue Bomber Games,"Jun 10, 2019"
1037690,BIOSZARD Corporation,Action/Adventure/Indie,$3.99,https://steamcdn-a.akamaihd.net/steam/apps/1037690/header.jpg?t=1557627874,https://store.steampowered.com/app/1037690,BIOSZARD Dev,BIOSZARD Dev,"May 3, 2019"
1038670,Mind's Eye: Secrets of the Forgotten,Adventure/Casual/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1038670/header.jpg?t=1568361484,https://store.steampowered.com/app/1038670,Anino Games,Alawar Premium,"Mar 7, 2019"
1038650,Love Alchemy: A Heart In Winter,Adventure/Casual/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1038650/header.jpg?t=1568360878,https://store.steampowered.com/app/1038650,Ilving Studio,Alawar Premium,"Mar 11, 2019"
1038640,Joan Jade and the Gates of Xibalba,Adventure/Casual/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1038640/header.jpg?t=1568360837,https://store.steampowered.com/app/1038640,Artifex Mundi,Alawar Premium,"Mar 7, 2019"
1038630,Eternal Journey: New Atlantis,Adventure/Casual/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1038630/header.jpg?t=1568359333,https://store.steampowered.com/app/1038630,Five BN,Alawar Premium,"Mar 7, 2019"
1038620,House of 1000 Doors: Evil Inside,Adventure/Casual/Indie,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1038620/header.jpg?t=1568613228,https://store.steampowered.com/app/1038620,Five BN,Alawar Premium,"Mar 11, 2019"
1038440,Mortadelo y Filemón: El sulfato atómico,Adventure,$5.99,https://steamcdn-a.akamaihd.net/steam/apps/1038440/header.jpg?t=1558567144,https://store.steampowered.com/app/1038440,Alcachofa Soft,Erbe Software,"May 22, 2019"
1038430,Dráscula: The Vampire Strikes Back,Adventure,$5.99,https://steamcdn-a.akamaihd.net/steam/apps/1038430/header.jpg?t=1557961238,https://store.steampowered.com/app/1038430,Alcachofa Soft,Erbe Software,"May 15, 2019"
1038410,ShooterSpheres,Action/Adventure/Indie,$10.99,https://steamcdn-a.akamaihd.net/steam/apps/1038410/header.jpg?t=1553082844,https://store.steampowered.com/app/1038410,RazzerGames,RazzerGames,"Mar 20, 2019"
1038380,PuppetShow: Porcelain Smile Collector's Edition,Adventure/Casual,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/1038380/header.jpg?t=1550908842,https://store.steampowered.com/app/1038380,AMAX Interactive,Big Fish Games,"Feb 23, 2019"
1038370,Trials of Fire,Indie/RPG/Strategy/Early Access,$15.99,https://steamcdn-a.akamaihd.net/steam/apps/1038370/header.jpg?t=1572440106,https://store.steampowered.com/app/1038370,Whatboy Games,Whatboy Games,"May 7, 2019"
